player_name,height_wo_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,war_total,position_C,position_C-PF,position_PF,position_PF-C,position_PF-SF,position_PG,position_PG-SG,position_SF,position_SF-PF,position_SF-SG,position_SG,position_SG-PG,position_SG-SF
Jason Richardson,76.75,213.0,83.5,102.5,5.3,,,32.5,39.5,11.75,3.12,15.0,28,45.6,88.5,22.4,42.8,46.7,2.6,7.2,25.8,21.9,40,62,0.645,56,129,0.434,8,30,0.267,0.2,2.1,39.0,1,0.324044,92.0785,4.7,2016,1.41298919,,108.35799999999999,109.12700000000001,1.25482,85.8594,-4.95925,-2.5721,-2.38715,-4.63336,18.6429,-3.20457,-1.42879,0.4286,1.2143,1.6429,2.3214,0.7143,0.0357,6.2857,-0.017813908,0,0,0,0,0,0,0,0,0,1,0,0,0
Earl Watson,72.0,184.0,78.75,97.0,4.0,,,32.5,37.5,10.97,3.19,4.0,30,23.0,103.1,14.9,55.1,55.3,12.7,18.7,4.2,20.4,17,32,0.531,27,49,0.551,0,0,0.0,9.1,0.6,65.3,3,0.433856,98.1706,7.2,2015,0.39987599,,87.8762,87.0401,1.37152,62.0572,3.6411599999999997,-1.49258,5.13375,1.7436200000000002,9.9032,-1.8763400000000001,3.61995,1.0323,1.6129,2.6452,0.1935,0.0968,0.871,2.5484,-0.614332071,0,0,0,0,0,1,0,0,0,0,0,0,0
Ryan Gomes,78.5,248.0,86.0,106.5,,,,26.5,30.5,12.49,3.24,9.0,32,14.5,105.7,16.6,61.1,59.57,8.1,10.0,1.1,16.7,4,10,0.4,33,53,0.623,0,1,0.0,3.3,0.6,18.5,1,0.27663000000000004,99.1871,8.2,2017,0.09984,,102.809,105.17200000000001,0.536423,33.6044,-4.4591199999999995,-3.07707,-1.38205,-3.9199900000000003,6.5312,-4.347119999999999,0.42712799999999995,0.4375,0.5625,1.0,0.0312,0.0625,0.2188,2.1875,-0.023327876,0,0,0,0,0,0,0,0,1,0,0,0,0
Devin Harris,73.75,170.0,79.5,98.5,5.3,,,30.5,37.0,11.03,3.19,5.0,17,11.6,79.1,18.3,40.5,45.17,2.7,16.9,11.9,29.0,9,13,0.6920000000000001,12,29,0.414,2,8,0.25,0.0,2.1,35.1,1,-0.40418200000000004,75.0466,2.5,2014,0.6665911,,104.992,108.823,0.667219,30.3611,-8.09267,-6.47635,-1.61632,-4.60653,9.3529,-3.92602,-0.680507,0.2353,1.4706,1.7059,0.5882,0.3529,0.0,2.2941,2.6033236095,0,0,0,0,0,1,0,0,0,0,0,0,0
Nate Robinson,67.75,181.0,73.0,91.5,6.7,,,35.5,43.5,10.75,2.96,13.0,12,33.3,96.8,18.1,45.4,50.39,1.6,8.8,1.6,12.3,21,28,0.75,18,50,0.36,11,26,0.423,1.8,1.3,36.8,3,0.613042,93.5696,2.5,2021,0.20004801,,105.20700000000001,103.382,1.7604099999999998,41.0156,-4.9557400000000005,-3.44805,-1.50769,-1.6458599999999999,21.25,-1.02435,-0.621506,0.3333,1.5,1.8333,0.1667,0.5,0.3333,7.5,0.7925189716666666,0,0,0,0,0,1,0,0,0,0,0,0,0
Josh Smith,79.0,221.0,84.0,106.5,6.7,,,32.5,39.5,11.43,3.24,12.0,4,3.0,50.0,18.2,33.3,37.97,0.0,30.5,29.0,56.2,1,2,0.5,1,3,0.33299999999999996,0,0,0.0,3.9,6.1,66.7,1,-0.984034,46.4558,8.0,2009,0.8,,81.5539,89.979,0.944393,9.01036,-4.56578,-11.6798,7.11406,-2.9552,7.5,-10.5607,7.60553,0.0,1.75,1.75,1.0,0.75,0.25,0.75,1.74414923075,0,0,0,0,0,0,0,0,0,0,0,0,1
Will Bynum,70.5,188.8,75.5,93.0,,,,33.0,40.5,11.12,3.0,15.0,30,70.3,95.3,22.6,49.6,52.04,2.4,13.1,13.8,20.5,77,131,0.588,120,237,0.506,3,14,0.214,2.0,4.1,52.2,3,1.22186,96.7841,3.1,2009,0.75381919,,101.054,100.992,2.4672400000000003,172.968,0.512374,-1.02291,1.53528,1.4840200000000001,28.6,-0.742074,2.22609,0.6,2.9667,3.5667,1.6333,1.9,0.5,10.8667,-0.5669230355,0,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Rush,77.0,211.4,83.25,104.5,,,,32.5,35.0,11.33,3.31,0.0,27,39.0,92.0,14.8,48.0,50.95,1.6,6.5,4.4,19.8,19,27,0.7040000000000001,22,46,0.478,18,56,0.321,0.7,2.3,26.5,1,-0.130129,83.1206,2.0,2020,0.50005835,,110.816,114.586,0.747491,71.709,-4.93966,-1.9383700000000001,-3.00129,-4.3675,17.1786,-2.3426,-2.0249,0.25,0.9643,1.2143,0.4286,0.6786,0.1429,4.7857,-0.9559782715,0,0,0,0,0,0,0,0,0,0,0,0,1
Marvin Williams,79.0,228.2,87.5,108.0,,,,29.5,35.0,11.11,3.17,12.0,23,23.5,84.6,21.3,40.8,43.42,10.1,17.8,2.1,19.2,15,24,0.625,40,97,0.41200000000000003,0,1,0.0,1.8,1.0,24.5,1,0.0504746,85.5397,4.3,2012,0.14282585,,104.236,102.738,1.0005899999999999,53.6649,-8.85244,-5.87895,-2.9735,-7.523060000000001,12.4783,-4.8524199999999995,-2.67064,1.1739,2.0,3.1739,0.1304,0.2174,0.2174,4.1304,2.8984609245714283,0,0,0,0,1,0,0,0,0,0,0,0,0
Bobby Brown,71.0,170.0,76.0,95.5,6.6,,,32.5,41.0,11.27,3.25,3.0,29,40.1,87.7,19.6,42.8,43.33,8.9,15.9,7.1,18.2,16,35,0.457,43,90,0.478,15,63,0.23800000000000002,2.8,1.4,22.9,1,0.06757010000000001,85.0407,2.6,2013,0.53330111,,103.67399999999999,110.176,0.921484,87.0439,-4.42951,-2.45764,-1.97187,-4.12182,17.2759,-1.4579600000000001,-2.6638599999999997,1.4138,2.4138,3.8276,0.5517,0.4138,0.4483,5.069,-0.32615438750000003,0,0,0,0,0,1,0,0,0,0,0,0,0
