player_name,season,overall_pick
Clifton McNeeley,1947,1
Glen Selbo,1947,2
Eddie Ehlers,1947,3
Walt Dropo,1947,4
Dick Holub,1947,5
Francis Crossin,1947,6
Jack Underman,1947,7
Paul Huston,1947,8
Dick O'Keefe,1947,9
Larry Killick,1947,10
Wimpy Quinn,1947,0
Bill Burke,1947,0
Abel Rodriguez,1947,0
Robert Bolyard,1947,0
Scotty Hamilton,1947,0
Hugh Hampton,1947,0
Bob Jake,1947,0
Charles Raynor,1947,0
John Rusinko,1947,0
Ben Schadler,1947,0
Donald Smith,1947,0
Gene Stump,1947,0
John Mandic,1947,0
Saul Mariaschin,1947,0
Wat Misaka,1947,0
Fred Nagy,1947,0
Paul Napolitano,1947,0
Jack Tingle,1947,0
Gene Vance,1947,0
Andy Phillip,1947,0
Jim Pollard,1947,0
Joseph Reiser,1947,0
Red Rocha,1947,0
Irv Rothenberg,1947,0
Paul Cloyd,1947,0
Jimmy Darden,1947,0
Andy Duncan,1947,0
Johnny Ezersky,1947,0
Elmer R. Gainer,1947,0
Harry Gallatin,1947,0
Frank Broyles,1947,0
Herb Wilkinson,1947,0
"Bear, The Body Hoffman",1947,0
Bob Hubbard,1947,0
Matt Zunic,1947,0
Bob Alemeida,1947,0
George Felt,1947,0
John Kelly,1947,0
George Petrovick,1947,0
Ralph Bishop,1947,0
Hank Decker,1947,0
Jack Stone,1947,0
Ray Evans,1947,0
Ed Golub,1947,0
Garland Head,1947,0
Ron Livingston,1947,0
Dan Miller,1947,0
Carl Reichert,1947,0
Tom Tomlinson,1947,0
Norman Butz,1947,0
Jim Kaeding,1947,0
Ed Koffenberger,1947,0
Bob Alamo,1947,0
George Brown,1947,0
Dick Ives,1947,0
Herman Knoche,1947,0
Jack Walton,1947,0
Joe Barry,1947,0
Dick Furey,1947,0
Bob Joyce,1947,0
Roy Lipscomb,1947,0
John Mills,1947,0
Al Nichols,1947,0
Jack Knopf,1947,0
Bob Kurland,1947,0
Bill Strannigan,1947,0
Jack Hewson,1947,0
Hank Biasatti,1947,0
Andy Tonkovich,1948,1
George Kok,1948,2
George Hauptfuhrer,1948,3
Dolph Schayes,1948,4
Ed Mikan,1948,5
Walter Budko,1948,6
Robert Gale,1948,7
Ward Williams,1948,8
Chuck Hanger,1948,9
Bobby Wanzer,1948,10
Don Ray,1948,11
Jack Nichols,1948,12
Junior Skogland,1948,0
Quentin Stinson,1948,0
Bob Lowther,1948,0
Alex Athas,1948,0
Ed Keim,1948,0
Ken Jastrow,1948,0
Cliff Crandall,1948,0
Hank O'Keefe,1948,0
Warren Stickel,1948,0
Paul Yesavi,1948,0
Mel McGaha,1948,0
Jack Phoenix,1948,0
Murray Mitchell,1948,0
Johnny Orr,1948,0
Bob Paxton,1948,0
Estes Parham,1948,0
Jack Parkinson,1948,0
Ed Peterson,1948,0
Roy Pugh,1948,0
Lionel Melamed,1948,0
Goebel Ritter,1948,0
Kenny Rollins,1948,0
Alex Hannum,1948,0
Marshall Hawkins,1948,0
Joe Holland,1948,0
Edwin Kachan,1948,0
Leo Katkaveck,1948,0
Tom Kelly,1948,0
Andy Kostecka,1948,0
Dan Kraus,1948,0
Herb Krautblatt,1948,0
Leo Kubiak,1948,0
Ray Lumpp,1948,0
Johnny Macknowski,1948,0
Jack Burmaster,1948,0
Jake Carter,1948,0
Jack Coleman,1948,0
Bobby Cook,1948,0
John Dillon,1948,0
Arnie Ferrin,1948,0
Billy Gabor,1948,0
Harry Gallatin,1948,0
Earl Gardner,1948,0
Dee Gibson,1948,0
Johnny Bach,1948,0
Gene Berce,1948,0
Norman Kohler,1948,0
Jack Coleman,1948,0
Dick Shrider,1948,0
Odie Spears,1948,0
Brady Walker,1948,0
Dick Wehr,1948,0
Murray Wier,1948,0
D.C. Wilcutt,1948,0
Norman Carey,1948,0
Bob Curran,1948,0
Neil Dooley,1948,0
Jack Hauser,1948,0
Guinn Phillips,1948,0
Ray Wehde,1948,0
Mickey Marty,1948,0
Ed Mills,1948,0
Don Reagan,1948,0
Joe Shafer,1948,0
Fred Weber,1948,0
Leland Byrd,1948,0
Keith Grimes,1948,0
John Stanisch,1948,0
William Brown,1948,0
Hugh Compton,1948,0
Joe Nelson,1948,0
Clint Pace,1948,0
Tom Short,1948,0
Joe Wahl,1948,0
Andy Wolfe,1948,0
A. L. Bennett,1948,0
Ed Faber,1948,0
Verl Heap,1948,0
Otto Snellbacher,1948,0
Gordon Flick,1948,0
John Hoppin,1948,0
Dan London,1948,0
D. Miller,1948,0
Fred Bartell,1948,0
Ed Hughes,1948,0
Thorton Jenkins,1948,0
C.T. Parker,1948,0
Don Walker,1948,0
Al Williams,1948,0
Jim Black,1948,0
Robert Carroll,1948,0
Marvin English,1948,0
Gene Fellmoth,1948,0
J. W. Fullerton,1948,0
Marshall Gemberling,1948,0
Vince Hansen,1948,0
Wayne Jones,1948,0
Paul Marcincin,1948,0
Link Richmond,1948,0
Reede Berg,1948,0
Darrell Brown,1948,0
Howie Shannon,1949,1
Alex Groza,1949,2
Bob Harris,1949,3
Tony Lavelli,1949,4
Vern Gardner,1949,5
Ron Livingstone,1949,6
Dick McGuire,1949,7
Wallace Jones,1949,8
Jack Kerris,1949,9
Frank Saul,1949,10
Jack Davidson,1949,0
Bob Retherford,1949,0
Eddie Van Zant,1949,0
Preston Ward,1949,0
Maynard Haitcock,1949,0
Jim Lacy,1949,0
Jim Owens,1949,0
Bill Evans,1949,0
Tom Gallagher,1949,0
Jim McMullen,1949,0
Eppa Rixey,1949,0
Roger Wiley,1949,0
Bill Zipple,1949,0
Dal Zuber,1949,0
Charlie Maas,1949,0
Jim O'Halloran,1949,0
J.L. Parks,1949,0
Bob Royer,1949,0
Bob Harrison,1949,0
George Kaftan,1949,0
Duane Klueh,1949,0
Ed Leede,1949,0
Jack Coleman,1949,0
Ray Corley,1949,0
Earl Dodd,1949,0
Harry Donovan,1949,0
Thomas Eddleman,1949,0
Bob Evans,1949,0
Joe Crandall,1949,0
Jack Theolan,1949,0
Marv Schatzman,1949,0
Fred Schaus,1949,0
Ernie Vandeweghe,1949,0
Paul Walther,1949,0
Ed Macauley,1949,0
Vern Mikkelsen,1949,0
Joe Mullaney,1949,0
Jerry Nagel,1949,0
Jim Nolan,1949,0
Johnny Oldham,1949,0
Johnny Orr,1949,0
Mac Otten,1949,0
Warren Perkins,1949,0
John Pritchard,1949,0
Cliff Barker,1949,0
Leo Barnhorst,1949,0
Ralph Beard,1949,0
Nelson Bobb,1949,0
Don Boven,1949,0
Ed Little,1949,0
Jim Simpson,1949,0
Emerson Speicher,1949,0
Bill Tom,1949,0
Bill Vandenburgh,1949,0
Russ Washburn,1949,0
Bill Weight,1949,0
Don Bagley,1949,0
Ken Kearns,1949,0
Bill Kleine,1949,0
Bill Litchfield,1949,0
Bob Prewitt,1949,0
Paul Courty,1949,0
Carl Schaeffer,1949,0
Bill Tanzler,1949,0
Paul Gordon,1949,0
Charlie Share,1950,1
Don Rehfeldt,1950,2
Bob Cousy,1950,3
Dick Schnittker,1950,4
Larry Foust,1950,5
Irwin Dambrot,1950,6
George Yardley,1950,7
Bob Lavoy,1950,8
Joe McNamee,1950,9
Kevin O'Shea,1950,10
Don Lofgran,1950,11
Jerry Stuteville,1950,0
Gene Schmidt,1950,0
Jim Line,1950,0
Jimmy Doyle,1950,0
Colin Anderson,1950,0
Sonny Allen,1950,0
Warren Switzer,1950,0
George Stanich,1950,0
Bob Roper,1950,0
Carl Kraushaar,1950,0
Dan Kahler,1950,0
John Givens,1950,0
Chet Giermak,1950,0
Harry Foley,1950,0
Norm Mager,1950,0
Howie Williams,1950,0
Jim Reilly,1950,0
Hal Haskins,1950,0
Wayne Glasgow,1950,0
Andy Butchko,1950,0
Newt Benson,1950,0
Ed Thompson,1950,0
Len Rzewszewski,1950,0
Bob Metcalf,1950,0
Ed Jones,1950,0
Paul Unruh,1950,0
Lou Arko,1950,0
Stan Christie,1950,0
Bob Healey,1950,0
Paul Hickey,1950,0
Paul Merchant,1950,0
Bob Savage,1950,0
Mack Suprunowicz,1950,0
Glenn Wilkes,1950,0
Bob Anderson,1950,0
Keith Bloom,1950,0
Clarence Brannum,1950,0
Loy Doty,1950,0
Bill Erickson,1950,0
Paul Hicks,1950,0
Joe Hutton,1950,0
George King,1950,0
Earl Lloyd,1950,0
Art Burris,1950,0
Gerry Calabrese,1950,0
Cal Christensen,1950,0
Chuck Cooper,1950,0
Ed Dahler,1950,0
Nate DeLong,1950,0
Dick Dickey,1950,0
Bob Donham,1950,0
Ed Gayda,1950,0
Al Henningsen,1950,0
Billy Adcock,1950,0
Francis Mahoney,1950,0
Chuck Mrazovich,1950,0
Ken Murray,1950,0
Buckshot O'Brien,1950,0
Tommy O'Keefe,1950,0
Wally Osterkorn,1950,0
Claude Overton,1950,0
John Pilch,1950,0
Jim Riffey,1950,0
Alan Sawyer,1950,0
Herb Scherer,1950,0
Bill Sharman,1950,0
Paul Arizin,1950,0
Ed Beach,1950,0
Leon Blevins,1950,0
Costic Borsavage,1950,0
Joe Nelson,1950,0
Dale Barnstable,1950,0
Bob Cope,1950,0
Matt Forman,1950,0
Frank Oftring,1950,0
Ken Reeves,1950,0
Jack Shelton,1950,0
John Brown,1950,0
Stu Inman,1950,0
Bud Schaeffer,1950,0
Don Stroot,1950,0
Lou Watson,1950,0
Milt Whitehead,1950,0
Dan Bagley,1950,0
Dick Barnes,1950,0
Don Heathington,1950,0
Charles Hope,1950,0
Joe Ossola,1950,0
Don Parsons,1950,0
Stan Weber,1950,0
Bernie Adams,1950,0
Buddy Cate,1950,0
Dick Dallmer,1950,0
Joe Kaufman,1950,0
Ed Montgomery,1950,0
Charles Northup,1950,0
Brooks Ricca,1950,0
Paul Sensky,1950,0
Leo Wolfe,1950,0
Warren Cartier,1950,0
Jim Cathcart,1950,0
Joe Greenbach,1950,0
Joe Noertker,1950,0
George Bush,1950,0
Frank Comerford,1950,0
Rick Harman,1950,0
Jack Laub,1950,0
Jerry Reed,1950,0
Mike Zedalis,1950,0
Bud Grant,1950,0
Gene Melchiorre,1951,1
Mel Hutchins,1951,2
Marcus Freiberger,1951,3
Zeke Sinicola,1951,4
John McConathy,1951,5
Ed Smith,1951,6
Ernie Barrett,1951,7
Sam Ranzino,1951,8
