player_name,war_total
Stephen Curry,26.66687277
Stephen Curry,25.08987314
Draymond Green,23.47049432
James Harden,22.79136841
Chris Paul,22.6091422
James Harden,20.926163
Stephen Curry,20.65330419
LeBron James,19.87012916
James Harden,19.84238439
Kevin Durant,19.67229521
Paul George,19.41877202
James Harden,19.32520438
Chris Paul,19.27121673
LeBron James,19.20976936
Nikola Jokic,18.19761224
Stephen Curry,18.14294257
Kawhi Leonard,17.94142241
Stephen Curry,17.5661287
Nikola Jokic,17.53391652
Kawhi Leonard,17.48094634
LeBron James,17.41171994
James Harden,17.34394892
Draymond Green,17.32993164
Draymond Green,16.83009631
LeBron James,16.82248433
Russell Westbrook,16.76282181
Paul George,16.70974488
Kyle Lowry,15.81697712
Chris Paul,15.67830579
Anthony Davis,15.49317006
Russell Westbrook,15.30663628
Anthony Davis,15.16301555
LeBron James,15.10110379
Victor Oladipo,15.0540816
Damian Lillard,15.00745276
Kawhi Leonard,14.91051131
Jimmy Butler,14.82461084
Paul George,14.62544724
Kawhi Leonard,14.47116267
James Harden,14.4167402
Giannis Antetokounmpo,14.26986143
Kevin Durant,14.0972277
Rudy Gobert,14.06060434
Rudy Gobert,13.83774546
Giannis Antetokounmpo,13.66679622
Chris Paul,13.65672991
Kevin Love,13.57725105
Kyle Lowry,13.54742501
Kyle Lowry,13.46320289
LeBron James,13.31294722
Joel Embiid,13.30610109
Kevin Durant,13.28639377
Chris Paul,13.19965127
Giannis Antetokounmpo,13.14961267
James Harden,13.07827062
Joakim Noah,13.04581501
Kevin Durant,12.96123894
Giannis Antetokounmpo,12.90944367
Bradley Beal,12.8920628
Kawhi Leonard,12.85468151
Anthony Davis,12.81229307
Damian Lillard,12.80760241
Kawhi Leonard,12.77925837
Kevin Durant,12.76032716
Jimmy Butler,12.73994626
Giannis Antetokounmpo,12.5596554
Jayson Tatum,12.54958339
Paul George,12.46421745
Kemba Walker,12.34645517
Damian Lillard,12.30673553
Damian Lillard,12.3019275
Kemba Walker,12.15693432
Nikola Jokic,12.13295997
Jrue Holiday,12.06585539
Klay Thompson,12.05876216
Kyle Lowry,12.01677693
DeAndre Jordan,12.00518686
Kawhi Leonard,11.88393182
Stephen Curry,11.84730741
Russell Westbrook,11.84140355
Jimmy Butler,11.8023759
Mike Conley,11.57131684
Draymond Green,11.55596852
Danny Green,11.5381021
Luka Doncic,11.40264495
Rudy Gobert,11.38291189
Kyrie Irving,11.27505828
Kyle Lowry,11.2625947
Eric Bledsoe,11.21312726
Joel Embiid,11.18720942
Marc Gasol,11.18160504
Jimmy Butler,11.13844142
Kyrie Irving,11.10254398
Draymond Green,11.06816976
Rudy Gobert,11.06703155
Isaiah Thomas,11.05819682
Clint Capela,11.01088524
Anthony Davis,10.80842731
Kemba Walker,10.77902175
Stephen Curry,10.76057464
Mike Conley,10.75563906
Kevin Love,10.74850265
Kemba Walker,10.73837186
Steven Adams,10.71133281
Luka Doncic,10.64446575
Kyle Korver,10.58588542
Nikola Jokic,10.58467979
Goran Dragic,10.5505868
Blake Griffin,10.53359876
Jimmy Butler,10.44057795
Robert Covington,10.36348137
Jrue Holiday,10.32002858
Al Horford,10.31920573
Karl-Anthony Towns,10.29421777
Nikola Jokic,10.27493138
Jrue Holiday,10.27363737
Dirk Nowitzki,10.23313932
Nikola Vucevic,10.22755181
John Wall,10.12952212
Jusuf Nurkic,10.12116274
Russell Westbrook,10.11974092
Danny Green,10.10576145
Blake Griffin,9.98915614
DeMarcus Cousins,9.986797754
Blake Griffin,9.980862776
Klay Thompson,9.946248502
Kyle Lowry,9.918554868
Carmelo Anthony,9.860994962
Paul George,9.806548616
Paul Millsap,9.794299221
LaMarcus Aldridge,9.746017938
CJ McCollum,9.736892795
Manu Ginobili,9.734833531
Damian Lillard,9.689817875
Nikola Jokic,9.664219471
Gordon Hayward,9.646079821
Anthony Davis,9.609615264
Bradley Beal,9.580186206
Otto Porter Jr.,9.536094824
Kevin Love,9.536085206
Eric Bledsoe,9.498613612
Otto Porter Jr.,9.400487645
Pascal Siakam,9.320981822
CJ McCollum,9.181164186
DeMarcus Cousins,9.160685353
LaMarcus Aldridge,9.152786751
Khris Middleton,9.14123468
Kemba Walker,9.11212313
Tristan Thompson,9.097603584
LaMarcus Aldridge,9.076819119
Kemba Walker,9.073102918
Bradley Beal,9.068290745
Devin Booker,9.051053932
Marc Gasol,8.994060641
Paul Millsap,8.991157567
Damian Lillard,8.966363667
Paul George,8.939321207
Paul Millsap,8.926870847
Andre Drummond,8.881571105
Danny Green,8.865559365
Damian Lillard,8.839456747
Ricky Rubio,8.823258322
Serge Ibaka,8.794117841
Jamal Murray,8.772969636
Mikal Bridges,8.749575128
Kyrie Irving,8.712799466
Chris Paul,8.691940012
Nicolas Batum,8.669646433
Jimmy Butler,8.663922684
Isaiah Thomas,8.663379887
Blake Griffin,8.663354119
Jimmy Butler,8.574747277
Chris Paul,8.555916679
Isaiah Thomas,8.506230547
DeMarcus Cousins,8.486441648
Klay Thompson,8.452283851
Khris Middleton,8.441553667
Clint Capela,8.439725989
Joe Ingles,8.429749455
Mike Conley,8.419667473
Mike Conley,8.401862121
Russell Westbrook,8.378822238
DeAndre Jordan,8.347165663
DeMarcus Cousins,8.343568857
Gordon Hayward,8.34323364
Kyle Lowry,8.342475423
Klay Thompson,8.338762225
James Harden,8.326338836
Kevin Love,8.325963588
David West,8.306844629
Deron Williams,8.301828042
LeBron James,8.297431002
LeBron James,8.2851682
Khris Middleton,8.258290763
Tim Duncan,8.215443114
Danilo Gallinari,8.195913788
Wesley Matthews,8.178587063
Eric Bledsoe,8.142139031
Damian Lillard,8.140588171
Karl-Anthony Towns,8.139934627
George Hill,8.112636154
Mario Chalmers,8.106604395
Marcin Gortat,8.092242126
Jrue Holiday,8.090246106
Ricky Rubio,8.036170127
Jimmy Butler,8.034983877
Trevor Ariza,8.034786623
Khris Middleton,8.02799798
Paul Millsap,8.016099796
Joel Embiid,8.01277715
JJ Redick,8.004951246
Trevor Ariza,7.993878404
Kentavious Caldwell-Pope,7.993064535
DeAndre Jordan,7.989550707
JJ Redick,7.955927685
Chris Paul,7.946262391
Marcin Gortat,7.866528696
Paul Millsap,7.856568283
Paul George,7.850679142
Jae Crowder,7.804251409
John Wall,7.775791068
Jeff Teague,7.775744738
Bam Adebayo,7.755916187
Patty Mills,7.735116417
Patrick Beverley,7.724218498
DeMarre Carroll,7.696745749
John Wall,7.659515862
Jae Crowder,7.654542075
Julius Randle,7.650137586
Khris Middleton,7.640206388
Ben Simmons,7.625856962
Lou Williams,7.619303641
Al Horford,7.61813156
Danny Green,7.577515666
Donovan Mitchell,7.569661932
Nicolas Batum,7.559357346
Rudy Gobert,7.538518539
Terry Rozier,7.532756082
Draymond Green,7.530784353
Anthony Davis,7.517069392
Marcus Smart,7.514981956
Tim Duncan,7.489080481
Kyrie Irving,7.489068084
Duncan Robinson,7.462170268
DeAndre Jordan,7.448792517
Al Horford,7.422224927
Khris Middleton,7.385360708
Bradley Beal,7.381822409
